7.91 30000.00 -4.00 1.31 0.00 0.65 0.01 0.01 0.03 0.00
7.91 32500.00 -4.00 1.49 0.00 0.69 0.02 0.01 0.03 0.00
7.91 35000.00 -4.00 1.66 0.00 0.72 0.02 0.02 0.04 0.00
7.91 37500.00 -4.00 1.82 0.00 0.74 0.03 0.02 0.04 0.00
7.91 40000.00 -4.00 1.96 0.01 0.76 0.03 0.02 0.05 0.00
7.91 45000.00 -4.00 2.20 0.02 0.80 0.04 0.02 0.05 0.00
7.91 50000.00 -4.00 2.39 0.03 0.83 0.04 0.02 0.06 0.00
7.91 55000.00 -4.00 2.55 0.04 0.86 0.05 0.02 0.06 0.00
7.91 60000.00 -4.00 2.67 0.06 0.89 0.05 0.02 0.06 0.00
7.91 70000.00 -4.00 2.85 0.09 0.96 0.06 0.02 0.06 0.01
7.91 80000.00 -4.00 2.97 0.12 1.02 0.06 0.03 0.06 0.02
7.91 90000.00 -4.00 3.05 0.14 1.08 0.07 0.03 0.06 0.03
7.91 30000.00 -3.75 1.59 0.00 0.65 0.02 0.01 0.03 0.00
7.91 32500.00 -3.75 1.80 0.00 0.67 0.03 0.01 0.04 0.00
7.91 35000.00 -3.75 2.00 0.01 0.68 0.03 0.02 0.04 0.00
7.91 37500.00 -3.75 2.18 0.02 0.69 0.04 0.02 0.05 0.00
7.91 40000.00 -3.75 2.34 0.02 0.70 0.05 0.02 0.05 0.00
7.91 45000.00 -3.75 2.61 0.05 0.71 0.06 0.02 0.05 0.00
7.91 50000.00 -3.75 2.82 0.09 0.73 0.07 0.02 0.06 0.00
7.91 55000.00 -3.75 2.97 0.13 0.74 0.07 0.02 0.06 0.00
7.91 60000.00 -3.75 3.09 0.18 0.76 0.08 0.02 0.06 0.00
7.91 70000.00 -3.75 3.25 0.28 0.80 0.08 0.02 0.06 0.01
7.91 80000.00 -3.75 3.35 0.37 0.85 0.09 0.02 0.06 0.02
7.91 90000.00 -3.75 3.40 0.44 0.89 0.09 0.02 0.06 0.04
7.91 30000.00 -3.50 1.90 0.01 0.63 0.03 0.01 0.03 0.00
7.91 32500.00 -3.50 2.14 0.01 0.62 0.04 0.02 0.04 0.00
7.91 35000.00 -3.50 2.36 0.03 0.62 0.05 0.02 0.05 0.00
7.91 37500.00 -3.50 2.56 0.05 0.61 0.06 0.02 0.05 0.00
7.91 40000.00 -3.50 2.73 0.08 0.61 0.07 0.02 0.05 0.00
7.91 45000.00 -3.50 2.99 0.16 0.60 0.08 0.02 0.06 0.00
7.91 50000.00 -3.50 3.17 0.27 0.60 0.09 0.02 0.06 0.00
7.91 55000.00 -3.50 3.28 0.39 0.61 0.10 0.02 0.06 0.00
7.91 60000.00 -3.50 3.34 0.52 0.62 0.11 0.02 0.06 0.00
7.91 70000.00 -3.50 3.38 0.78 0.65 0.11 0.02 0.06 0.01
7.91 80000.00 -3.50 3.38 0.99 0.68 0.12 0.02 0.06 0.03
7.91 90000.00 -3.50 3.37 1.16 0.71 0.12 0.02 0.06 0.04
7.91 30000.00 -3.25 2.22 0.02 0.58 0.05 0.01 0.04 0.00
7.91 32500.00 -3.25 2.48 0.04 0.55 0.06 0.02 0.04 0.00
7.91 35000.00 -3.25 2.71 0.08 0.53 0.08 0.02 0.05 0.00
7.91 37500.00 -3.25 2.90 0.15 0.51 0.09 0.02 0.05 0.00
7.91 40000.00 -3.25 3.04 0.22 0.49 0.10 0.02 0.05 0.00
7.91 45000.00 -3.25 3.21 0.44 0.48 0.11 0.02 0.06 0.00
7.91 50000.00 -3.25 3.26 0.70 0.47 0.12 0.02 0.06 0.00
7.91 55000.00 -3.25 3.23 0.97 0.47 0.13 0.02 0.06 0.00
7.91 60000.00 -3.25 3.18 1.24 0.48 0.14 0.02 0.06 0.01
7.91 70000.00 -3.25 3.05 1.69 0.50 0.14 0.02 0.06 0.01
